09:48 28/04/2023,,,,,,,,,למשח 'עמ :9 קרפ,,,,,,,
11,,,,,11,,11,11,,,,שדחל ןשימ תורפס תוטסק תרבעה-ףרגוכט ןועש ןשי ץוא דמ יפל ךרוצה תדימב הטסקב תורפס יוניש :ללוכ,63-22,,,
8,8,8,8,8,8,8,8,8,8,8,"םינועש חול ה,ופ",(תדרפנ הדובעכ) לויכ\הקידב-ףרגוכט ןועש בכר גוס יפל ולויכו ףרגוכט ןועשל ינורטקלא רישכמ רוביח :ללוכ,63-24,,,
5,,,,,5,5,5,5,,,,לוענמ תפלחה-ףרגוכט ןועש,63-26,,,
19,,72,,,19,19,19,19,,,,הפלחה-םירוט ןועש םינועש חול ה''ופ :ללוכ,63-28,,,
8,,72,,,20,20,20,20,20,,,הפלחה-קלד/ןמש ץחל/םוח ןועש תודגנתה רישכמ תועצמאב הקידב םינועש חול ה''ופ :ללוכ,63-30,,,
,,,,,,,,,,,,אספוקב ספדומ לגעמ תפלחה-םינועש םינועש חול ה''ופ שדחל ןשי חולמ תורונ תרבעה :ללוכ,63-36,,,
,,,,,,12,,,,,,הפלחה-םינועש חול רואל רטמויצנטופ,63-42,,,
8,8,,,8,8,8,8,8,8,8,,הפלחה-ןצחל/קספמ,63-43,,,
12,12,,,12,23,12,23,23,12,12,,הפלחה-םינועש חולב ןצחל קספמ םינועש חול ה''ופ :ללוכ,63-44,,,
19,,,,,19,,19,19,,,,ה''ופ-הכנל רוצע ןצחל,63-46,,,
16,,,,,31,20,31,31,20,,,הפלחה-ישאר תורוא ז''פמ םינועש חול ה''ופ :ללוכ,63-48,,,
,,,,,23,,23,23,,,,הפלחה-הנחת םלב ז''פמ םינועש חול ה''ופ :ללוכ,63-52,,,
,,,,,,,,,,,,,,,,
09:48 28/04/2023 :הקפה ךיראת,,,,,,,160 .סמ דומע,,,,הנוכמ םינפו גהנ ןחלוש 63 :קרפ תת,,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",,,הלועפ רואת,רפסמ,,
14,22,,,22,14,13,14,14,22,22,םינועש חולב וא הגה טומב תידי תפלחה-רדרטר ררוב תפלחה ררובה לש טווח ןומיס קיטסלפ תידי ה''ופ :ללוכ,,,63-54,,
,17,,,22,,13,,,13,22,,תידי תפלחה-טויש תרקב,,63-56,,
9,14,,,14,24,14,24,24,24,14,,הפלחה-םיכוליה רתנספ םינועש חול ה''ופ :ללוכ,,63-58,,
29,22,,,22,29,24,29,29,24,22,,הפלחה-בהבהמ תידי םינועש חול ה''ופ :ללוכ,,63-60,,
9,9,,,9,13,9,13,13,9,9,,הפלחה-ינורטקלא / ילמשח גנוג ןומעפ,,63-62,,
8,,,,,8,,8,8,,,,ןגוע ה''ופ-הזיחא תידי דומע,,63-64,,
20,20,,,20,20,,20,20,,20,תותלד 'עממ גנוג 'עמל חתמ תנזה תדרפה-גנוג ןומעפ 29-10 .ט.ה יפל,,,63-65,,
6,11,,,11,6,6,6,6,11,11,,םינועש חול ה''ופ,הפלחה-םזמז םזמזה ןווכ :ללוכ,63-66,,
,11,,,11,,11,,,11,11,,הפלחה-24V הלורוטומ עקש,,63-68,,
,,,,,,,,,,,,הפלחה-'דק/'חא תלדל הלעפה םותסש ריוא תרנצו םיטוח ה''ופ :ללוכ,,63-70,,
,,,,,,,,,,,,הפלחה-(3 ורוי) תלד תליענ םותסש,,63-72,,
,,,,,,,,,,,םילפינ+ םותסש תפלחה,הפלחה-'חא תלד ש''מק 5 םותסש םימותסש סיסב תטלפ ה''ופ הנכוב עורז ה''ופ :ללוכ,,63-74,,
,,,,,,,,,,,,הפלחה-'דק תלד ש''מק 5 םותסש ריוא תרנצ ה''ופ,,63-76,,
12,12,,,12,12,12,12,12,8,12,,ץיוסורקימ ה''ופ-ןעטמ את/תלד ףנכ עסונ תסיפת תעינמל,,63-78,,
24,24,,,,34,,24,24,,,93-67 ט.ה יפל שדח םגדל יוניש-תותלד ינצחל,,,63-79,,
,23,,,23,,23,,,23,23,,ץיוסורקימ 2 יוקינו ה''ופ-תירוחא תלד,,63-80,,
35,,,,,35,35,35,35,35,,,הנקתה - םירפושמ תותלד ינצחל 93-70 .ט.ה יפל,,63-83,,
33,33,,,33,33,33,33,33,33,33,,הפלחה-ימדק תלדל רטמויצנטופ בשחמ םע הקידב רטמויצניטופ ןווכ :ללוכ,,63-94,,
,,,,,,8,,,8,,,טנגמ תפלחה-ןעטמ את,,63-102,,
41,41,,,41,41,41,41,41,41,41,,ה''ופ תיזח ןוליו תופפכ אתב תשר ה''ופ :ללוכ,,63-104,,
18,23,,,23,18,18,18,18,18,23,,ילמשח עונמ תפלחה-תיזח ןוליו,,63-106,,
19,,,,,19,19,19,19,19,19,ה''ופ - תישילש תלד/רוחאל העיסנ הייפצ תמלצמ,,,63-110,,
,15,,,15,15,15,15,15,15,15,ריממ תפלחה - תישילש תלד/רוחאל העיסנ הייפצ תמלצמ,,,63-111,,
,,,,,239,,,,,,,"הליבכ - תירוחא תלד + סרוור המלצמ הנקתהו הבכרה ,קורפ :ללוכ",,63-115,,
,,,,,,,,,,,,,,,,
161 :ףד,,,,,,,,,,ןמז ינקת,,,,,,
09:48 28/04/2023,,,,,,,,,למשח 'עמ :9 קרפ,,,,,,,
,,,,,,,,,וירזיבאו וידר 64 :קרפ תת,,,,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",,,,הלועפ רואת,רפסמ,
20,20,,,20,20,20,20,20,20,20,,םינועש חול ה''ופ,הפלחה-''טנופואלב''\''ינוס'' פייט-וידר עמש 'עמ תקידב ילמשח טוויח תוניקת תקידב :ללוכ,,64-2,
14,14,,,14,14,14,14,14,14,14,עמש תכרעמ תקידב,,ילמשח טוויח,"הפלחה- ינוס/טנופואלב רבגמ ןופורקימו רבגמ ,וידר תקידב וידר ה''ופ :ללוכ",64-4,
23,23,,,23,23,23,23,23,23,23,,עמש 'עמ תקידב,ילמשח טוויח,ריממ תפלחה-טנופואלב וידר םיחתמ 'דב גהנ תפסכ ה''ופ :ללוכ,64-6,
11,11,,,11,11,11,11,11,11,11,,,,הפלחה-םיעסונ/גהנ לוקמר עמש תכרעמ תקידב :ללוכ,64-8,
11,11,,,11,11,11,11,11,11,11,,,,הפלחה - הנטנא,64-10,
,,,,,,108,,,68,,,,,טלפמוק לבכ תפלחה-הנטנא גהנ חופמ ה''ופ םינועש חול ה''ופ :ללוכ,64-11,
45,45,,,45,45,45,45,45,68,45,,,,טוח תפלחה-הנטנא,64-12,
23,23,,,23,23,23,23,23,23,23,,עמש 'עמ תקידב,עקת תמחלה תפלחה,הפלחה-דמוע ןופורקימ טוויח ה''ופ סיסב יגרב ה''ופ :ללוכ,64-14,
16,16,,,16,16,16,16,16,16,16,עמש 'עמ תקידב,תיסוכ ה''ופ,"םיקוזיחו םירצק ,ןצחל ןוקית",ןוקית-דמוע ןופורקימ קספמ וא ו הלוספק תפלחה :ללוכ,64-16,
,,,,,8,,8,8,,,,,,רבגמל וידר ןיב הפלחה-לבכ וידר תלועפ תקידב-לבכ :ללוכ,64-18,
,,,,,,,,,,,,,,,,
162 :ףד,,,,,,,,,,ןמז ינקת,,,,,,
09:48 28/04/2023,,,,,,,,,למשח 'עמ :9 קרפ,,,,,,,
,,,,,,,,"ר''צנו סוטרכ ,ילטיגיד טוליש 65 :קרפ תת",,,,,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",,,,הלועפ רואת,רפסמ,
11,11,11,11,11,11,11,11,11,11,11,"םיקוזיחו תוניקתל הקידב- טנרטניא/הזירכ/סוטרכ/םיעסונ יגצ/ר""צנ/טוליש הזירכ .טנרטניא ,ר''צנ ,ילטיגיד טוליש ,סוטרכ - תויגולונכטה 'עמה לש םיקוזיחו תוניקתל הקידב :ללוכ .םיעסונ יגצ ,ימינפ+ינוציח",,,,65-1,
,,25,25,25,25,,25,25,25,25,,,,"סיסב ה""ופ - 7"" גהנ גצ גהנ תארמ יוסיכ ה""ופ :ללוכ",65-2,
11,11,11,11,11,11,11,11,11,11,11,ץחלב יוקינ,ךרוצה תדימב תודויד לגעמ ה''ופ,,"הפלחה-טלפמוק 3/דחא ילטיגיד טוליש גצ טלפמוק םגד טוליש וא ,ב,א רוד בוהצ םודא םגד :ללוכ ריוא",65-3,
23,23,81,23,23,23,23,23,23,23,23,,,,הפלחה- םיעסונל ילטיגיד טוליש גצ,65-4,
22,22,22,22,22,22,22,22,22,22,22,,'חה-סקנא דצ\'חא\'דק גצ (הטלפ) ספדומ לגעמ טולישל חומ ה''ופ :ללוכ אל השיג יחתפו תואסכמ ה''ופ :ללוכ תחא הדיחיל ןמזה,,,65-5,
20,20,42,27,20,20,20,20,20,20,20,,,,ה''ופ - סקנא טולישל חומ השיג יחתפו תואסכמ ה''ופ :ללוכ,65-7,
65,65,65,65,65,65,65,65,65,65,65,,,GORBA/סקנא 'עמב טלפמוק תיב ה''ופ - טוליש (הקלחמב תקרופמ 'עמ) טוויחו תוטלפ ה''ופ :ללוכ,,65-9,
175,135,135,135,135,175,135,175,175,135,135,,,,סוטרכ י''ע הנקתה-סקנא ילטיגיד טוליש,65-10,
,22,,,22,,22,,,,22,,,,הפלחה-ירוחא גצ / טלפמוק גצ טוליש,65-11,
,45,,,45,45,45,45,45,,45,,,,סוטרכ י''ע תנקתה-דגא ילטיגיד טוליש,65-12,
,,,,,,11,,,,,,,הקידב ךרוצל םיגצ ןיב ה''ופ-ינוציח טוליש לבכ דוקיפ תספוקל םיגצ ןיב םג לבכה ה''ופ :ללוכ,,65-15,
,,65,65,,,65,,,,,,,,הפלחה-ירוחאל ימדק גצמ טולישל לבכ םיצפח אשונב השיג יחתפ ה''ופ :ללוכ,65-17,
48,48,48,48,48,48,48,48,48,48,48,,,,הפלחה-ידדצל ימדק גצמ טוליש לבכ םיצפח אשונב השיג יחתפ ה''ופ :ללוכ,65-21,
11,11,,,,11,,11,11,,,,,,היצדילו - ישאר גתמ תפלחה,65-22,
48,48,48,48,48,48,48,48,48,48,48,,,,הפלחה-ידדצל ימדק גצמ טוליש לבכ השיג יחתפ ה''ופ :ללוכ,65-23,
9,9,,,,9,,9,9,,,,,,הפלחה - רוטדילו,65-24,
135,135,135,135,135,135,135,135,135,135,135,,ןופסכ תנקתה,וידר ה''ופ,TIM 8000 תכרעמל הליבכ תנקתה -סוטרכ הנוכמל למשח ןוראמ טוח תרבעה קשממ תנקתה :ללוכ,65-25,
16,16,16,16,16,16,16,16,16,16,16,לילג תסנכה,רישכמל ותדמצהו ללכמ גת תנכה,,רישכמ תפלחה-סוטרכ ךויש עוצבו לודומ םע שדחה רישכמה תקידב :ללוכ ריינ,65-27,
8,8,8,8,8,8,8,8,8,8,8,,,רישכמה תקידב,רישכמה תבילח - סוטרכ ףינסה תפוקב רישכמהמ םינותנה תקירפ :ללוכ,65-29,
,8,8,8,8,8,8,8,8,8,8,,,,תספדמ/רישכממ ריינ ץוליח-סוטרכ סוטרכ קיזחמ ה''ופ סוטרכ רישכממ ריינ ץוליח :ללוכ,65-31,
,,,,,,,,,,,,,,,,
09:48 28/04/2023 :הקפה ךיראת,,,,,,,163 .סמ דומע,,,,"ר''צנו סוטרכ ,ילטיגיד טוליש 65 :קרפ תת",,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",הלועפ רואת,רפסמ,,,,
11,11,11,11,11,11,11,11,11,11,11,( B.I.U) רקב תפלחה -סוטרכ רקב לויכ :ללוכ,65-33,,,,
,338,,,338,,338,,,338,338,הנקתה-םיסובוטואב עדימ יכסמ,65-34,,,,
15,15,15,15,15,15,15,15,15,15,15,הפלחה- ר''צנ גהנ גצ,65-35,,,,
35,35,35,35,35,35,35,35,35,35,35,שדח בכרב תנקתה-סא.יפ.יג,65-36,,,,
11,11,11,11,11,11,11,11,11,11,11,ה''ופ-הרקב 'חי/ר''צנ בשחמ,65-37,,,,
,30,,,30,,30,,,30,30,הנקתה 92-160 .ט.ה יפל יראלולס רטואר,65-38,,,,
71,83,83,83,83,71,83,71,71,,83,"ה''ופ-ר''צנ חומ ןיבל UIB ןיב לבכ תולעתו השיג יחתפ ה,ופ :ללוכ",65-39,,,,
9,5,5,5,5,9,5,9,9,5,5,רותפכ תפלחה-סאלאד,65-43,,,,
34,,15,,,34,,34,34,,,ה''ופ-''ספט'' תישילש תלדב הייפצ רוטינומ,65-45,,,,
11,11,11,11,11,11,11,11,11,11,11,ינוציח לוקמר תפלחה - הזירכ,65-50,,,,
15,15,15,15,15,15,15,15,15,15,15,רבגמ תפלחה - הזירכ,65-51,,,,
8,8,8,8,8,8,8,8,8,8,8,קיתשמ תפלחה - הזירכ,65-52,,,,
4,4,4,4,4,4,4,4,4,,4,SPM ל קיתשמ ןיב RCA לבכ תפלחה - הזירכ,65-53,,,,
1,1,1,1,1,1,1,1,1,1,1,םיקתונמ םיטוח רוביח - הזירכ סובוטוא תסינכל תחא םעפ ןתני,65-55,,,,
,8,8,8,8,8,8,8,8,8,8,תוניקת תקידבו תרושקת לבכל RJ עקת תפלחה - רוטדילו,65-56,,,,
,,,,,,,,,,,,,,,,
164 :ףד,,,,,,,,,,ןמז ינקת,,,,,,
09:48 28/04/2023,,,,,,,,,למשח 'עמ :9 קרפ,,,,,,,
,,,,,,,,"רוטנרטלאו ענתמ ,םירבצמ 66 :קרפ תת",,,,,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",,,,,הלועפ רואת,רפסמ
14,14,,,14,14,14,14,14,14,14,,,ךרוצה תדימב םימ יולימ,דחא תפלחה-הנוכמב רבצמ רישכמ תרזעב םירבצמל חתמ תקידב :ללוכ,,66-10
27,27,,,27,27,27,27,27,27,27,,,,םיעגמ זוריג,םירבצמ 2 תפלחה-םירבצמ הצמוח ללוכ םירבצמ חתמ תקידב :ללוכ,66-11
5,5,,,5,5,5,5,5,5,5,,,,,סמועב םירבצמ תקידב-םירבצמ םיבטק יופיצ :ללוכ,66-13
11,11,,,11,11,11,11,11,11,11,,,הנוכמב הפלחהו הקלחמב רשג תנכה-רבצמ םיאתמ רטוקל םידיג ךותיח לידבב הליבטו תווצק יוליג :ללוכ,,,66-14
,29,,,29,29,65,29,29,29,29,,,,,םירבצמ דיל ישאר ז''פמ,66-15
19,,,,,19,,19,19,,,,,,הפלחה-(םירבצמ דיל)ישאר ינאכמ קיספמ,,66-16
,64,,,64,,64,,,64,64,,,,תינושאר הפלחה- 225A לופיט אלל םירבצמ םיבטק יוקינ םושיר הניעטו םיחתמ תקידב :ללוכ,,66-18
4,4,5,5,4,4,4,4,4,4,4,,,,תלגלג תפלחה-ענתמ לטבמ קספמ,,66-22
37,44,,,44,37,137,37,37,60,44,,,,הפלחה-ענתמ ינורטקלא חומ ה''ופ ללוכ B12 וולוו םגדב,,66-30
72,72,,,72,72,159,72,72,86,72,,,,חטשמ לע הפלחה - ענתמ ינורטקלא חומ ה''ופ:ללוכ 21-B וולוו םגדב,,66-31
14,14,48,19,14,14,14,14,14,14,14,,,,,הפלחה-ענתמ לטבמ קספמ,66-32
8,,,,,8,,8,8,,,,,,,הפלחה-ענתמ ןגמ,66-34
130,,,,,170,,170,170,,,ה''ופ,רוטנרטלא הסכמ ה''ופ,הניעט תקידב,(ןוילע ה''ופ ללוכ) הפלחה-ןותחת רוטנרטלא ילופ ה''ופ תועוצר ה''ופ ןוילע רוטנרטלא ה''ופ :ללוכ ךומנ ןאמב ירוחא שוגפ,,66-49
58,,,,,98,,98,98,90,,ךומנ ןאמב ירוחא שוגפ ה''ופ,,רוטנרטלא הסכמ,הפלחהA 170/120/95- רוטנרטלא הניעט תקידב ילופ ה''ופ תועוצר ה''ופ :ללוכ,,66-50
,66,,,66,74,66,74,74,66,66,ךומנ ןאמב ירוחא שוגפ ה''ופ,,רוטנרטלא הסכמ,הפלחה-(ןטק) שוב רוטנרטלא הניעט תקידב ילופ ה''ופ תועוצר ה''ופ :ללוכ,,66-52
,,,,,65,,65,65,,,,,,,הפלחה- 4 ורוי ימגדב רוטנרטלא רוטנרטלא לויכ :ללוכ,66-53
,,,,,105,,105,105,,,,,,הפלחה5- ורוי ימגדב ילאמש רוטנרטלא תועוצר חתומ ילופ תועוצר עונמ ילופ ה''ופ :ללוכ,,66-54
14,,,,,20,14,20,20,14,,,,רוטנרטלא ה''ופ :ללוכ אל,סיסב תפלחה - רוטנרטלא םירוטנרטלא ןיב תועוצר ה''ופ :ללוכ ןאמב,,66-55
11,11,,,11,11,11,11,11,11,11,,,,"הקיני רוניצ תפלחה-רוטנרטלא דנב קודיה ,הקיני רוניצ ךותיח/ןוקית :ללוכ",,66-58
10,10,,,10,10,10,10,10,10,10,,,,(תדרפנ הדובעכ) הניעט תקידב-רוטנרטלא,,66-60
14,,,,,14,,14,14,20,,,,,(תדרפנ הדובעכ) הסכמ ה''ופ-רוטנרטלא,,66-61
,23,,,23,23,9,23,23,13,23,,,,,למשח ילבכ רודיס - רוטנרטלא,66-62
,,,,,,,,,,,,,,,,
09:48 28/04/2023 :הקפה ךיראת,,,,,,,165 .סמ דומע,,,,"רוטנרטלאו ענתמ ,םירבצמ 66 :קרפ תת",,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",הלועפ רואת,רפסמ,,,,
,,,,,,,,,15,,תועוצר חתומ ןוילע סיסב 'חה-רוטנרטלא תוליזנ תקידב.2 הקיני הסיחד יזרב תריגסו תחיתפ.1 :ללוכ,66-64,,,,
11,11,,,11,11,11,11,11,11,11,הפלחה-רבצמל לבכ לענ,66-65,,,,
4,4,,,4,4,4,4,4,4,4,בטוק תפלחה-רבצמ,66-66,,,,
5,5,6,6,5,5,5,5,5,5,5,הניעטמ האצוה-רבצמ,66-91,,,,
,26,,,26,,,,,,26,TUC TIP תועצמאב הניעט תקידב,66-503,,,,
14,14,,,14,14,14,14,14,14,14,(תדרפנ הדובעכ) ילופ ה''ופ- רוטנרטלא,66-508,,,,
4,4,5,5,4,4,4,4,4,4,4,םיבטק יופיצו הקידב-גוז םירבצמ,66-553,,,,
5,5,,,5,5,5,5,5,5,5,"הנוכמב הצמוחו חתמ תקידב-גוז,םירבצמ",66-555,,,,
8,8,,,8,8,8,8,8,8,8,הירבצמב הניעטל האצוהו הסנכה-רבצמ,66-556,,,,
7,7,,,7,7,7,7,7,7,7,דיינ ןעטמ קותינו רוביח-הנוכמב םירבצמ,66-558,,,,
,,,,,,4,4,4,,,(תדרפנ הדובעכ) רשג תפלחה-םירבצמ,66-559,,,,
,,,,,,14,,,,,ה''ופ-ענתמ ילבכל ץע קבוח,66-600,,,,
,,,,,,,,,,,,,,,,
166 :ףד,,,,,,,,,,ןמז ינקת,,,,,,
09:48 28/04/2023,,,,,,,,,למשח 'עמ :9 קרפ,,,,,,,
,,,,,,,,"תוינורטקלא 'חי ,םיחטבמ ,םירסממ 67 :קרפ תת",,,,,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",הלועפ רואת,רפסמ,,,,
5,5,,,5,5,5,5,5,5,5,(תדרפנ הדובעכ) הפלחה-הפילש רסממ,67-1,,,,
5,5,,,5,5,5,5,5,5,5,הפלחה-חיטבמ,67-3,,,,
2,2,,,2,2,2,2,2,2,2,הפלחה-ךיתנ,67-5,,,,
9,9,,,9,9,9,9,9,9,9,הפלחה-50/80A ךיתנ,67-7,,,,
7,7,,,7,7,7,7,7,7,7,הפלחה-תינורטקלא הדיחי/לודומ,67-9,,,,
7,7,42,,7,7,7,7,7,7,7,הפלחה-הדויד,67-11,,,,
,10,,,10,10,10,10,10,10,10,הפלחה- UOI / סקלפיטלומ,67-15,,,,
,,,,,15,,15,15,,,הפלחה-EDC רסממ,67-16,,,,
,,,,,,,,,,,,,,,,
167 :ףד,,,,,,,,,,ןמז ינקת,,,,,,
09:48 28/04/2023,,,,,,,,,למשח 'עמ :9 קרפ,,,,,,,
,,,,,,,,בכרמ תחת םיללכמו םיטנמלא 68 :קרפ תת,,,,,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",,הלועפ רואת,רפסמ,,,
,11,,,,11,,11,11,,,הפלחה-VOITH ה''בית ןותחת םוח טנמלא,,68-2,,,
,,,,,23,,23,23,,,הפלחה-VOITH ה''בית ןוילע םוח טנמלא,,68-4,,,
,,,,,30,,30,30,,,םיטוח תמצ תפלחה-ןותחת ריג םוח טנמלא,,68-6,,,
74,10,,,10,74,10,74,74,8,10,,הפלחה-עונמ םוח טנמלא ןמשו ריוא םימ תורוניצ ה''ופ :ללוכ,68-8,,,
,,,,,,,,,,,הפלחה- VOITH ה''בית םוח טנמלא,,68-14,,,
,,,,,68,,68,68,,,הפלחה-VOITH ריג רדרטר םוח טנמלא ןוילע ןמש ןגא ה''ופ :ללוכ,,68-16,,,
